id,title,desc,authors,categories,averageRating,maturityRating,publishedDate,pageCount
ZGC-EAAAQBAJ,Chiếc Lexus Và Cây Ô liu,"Để đọc cuốn Chiếc Lexus và cây ô liu (*), bạn phải chuẩn bị tinh thần sẵn sàng bị tác giả Thomas Friedman khiêu khích, đôi lúc đến chỗ cực đoan. Nhưng dù tán thành hay phản bác quan điểm của tác giả, sách buộc chúng ta phải đọc đến tận trang cuối cùng và mãi băn khoăn về số phận con người trong cơn lốc toàn cầu hóa. Là một cây bút bình luận quan hệ quốc tế của tờ New York Times, Thomas Friedman có điều kiện đi khắp thế giới, tiếp xúc với đủ loại người, chứng kiến những biến cố lịch sử. Từ những kinh nghiệm ấy, Friedman đã viết cuốn Chiếc Lexus và cây ôliu, in lần đầu vào năm 1999 và ngay lập tức trở thành một trong những cuốn sách bán chạy nhất, được bàn tán nhiều nhất về toàn cầu hóa. Toàn cầu hóa, theo quan điểm của Friedman, không phải là một trào lưu thời thượng mà là một hệ thống quốc tế thay chỗ cho hệ thống chiến tranh lạnh, đang trực tiếp hay gián tiếp tác động đến chính trị, môi trường, địa chính trị và kinh tế của hầu như mọi quốc gia trên thế giới. Nói trắng ra đó là sự bành trướng không gì ngăn cản nổi của chủ nghĩa tư bản quốc tế khi các rào cản chính trị, địa lý, tài chính, thông tin... được tháo gỡ để tạo dòng chảy thoải mái cho đồng vốn, công nghệ đi khắp thế giới, tác động đến từng cá nhân và lối sống của họ. Thúc đẩy cho cơn lốc toàn cầu hóa này là các định chế quốc tế như WTO, IMF và các tiến bộ đáng kinh ngạc trong lĩnh vực công nghệ thông tin và viễn thông. Trong hệ thống này, mọi quốc gia phải tuân thủ luật chơi khắc nghiệt mà Friedman gọi là “chiếc vòng kim cô” như Tôn Ngộ Không từng phải mang. Còn những nhà tư bản tài chính, xua đồng vốn – cả trực tiếp lẫn gián tiếp – của mình đến bất kỳ đâu kiếm ra lợi nhuận nhiều nhất được gọi là “bầy thú điện tử”. Nếu đáp ứng đúng luật chơi, tức là mở cửa thị trường, thả nổi và tư nhân hóa nền kinh tế, một quốc gia mới mong cạnh tranh và mời được “bầy thú” vào nhà, cuộc sống của người dân sẽ nhanh chóng được cải thiện. Còn ngược lại, nếu luật lệ tù mù, xã hội thiếu minh bạch, quyền lực rơi vào một nhóm người, “bầy thú” sẽ bỏ đi, giẫm nát luôn mọi thứ trên đường tháo chạy. Dĩ nhiên “bầy thú” sẽ tác động gây áp lực để các quốc gia phải chịu khoác vòng kim cô, ngoan ngoãn sửa đổi luật lệ cho chúng dễ hoạt động. Chúng làm vậy không phải là để cổ vũ cho một nền dân chủ mà là để tăng khả năng dịch chuyển và bảo vệ tài sản. Friedman khẳng định ông “hoàn toàn hiểu rõ những mặt trái của toàn cầu hóa”. Bởi theo ông, đứng về mặt văn hóa, toàn cầu hóa hiện nay bao gồm một quá trình “Mỹ hóa” - dù tốt hay xấu. Trong hoàn cảnh đó, con người không còn lựa chọn nào khác mà phải “hội nhập”, trở thành những con người cô đơn, xã hội giảm tính người, và quốc gia có nguy cơ đánh mất những giá trị văn hóa truyền thống của mình mà Friedman hình tượng hóa thành những cây ôliu. Toàn cầu hóa còn có tiềm năng hủy diệt môi trường, phá hủy hệ sinh thái trên qui mô lớn. Ông viết: “Toàn cầu hóa có thể tiếp sức vô hạn nhưng cũng có thể chèn ép con người vô cùng. Toàn cầu hóa có thể phân bổ các cơ hội nhưng cũng khiến tràn lan sự hoang mang”. Những điều nói trên thật ra không có gì mới nhưng lối viết sách của Friedman lôi cuốn người đọc vì ông dùng rất nhiều mẩu chuyện cụ thể để minh họa lập luận của mình – từ các lần gặp gỡ nguyên thủ nhiều nước với những tình tiết hấp dẫn đến các câu chuyện đời thường sinh động. Tuy nhiên đến phần thứ ba của cuốn sách, Friedman hình như không còn giữ được tính khách quan của một nhà báo. Say sưa trước hình ảnh về một hệ thống quốc tế hoàn hảo, Friedman cho rằng động lực toàn cầu hóa sẽ xóa nạn tham nhũng, cửa quyền, sẽ lành mạnh hóa bộ máy hành chính, minh bạch hóa thị trường, sẽ dẫn đến tự do báo chí - nói chung là tạo ra một quá trình dân chủ hóa mạnh mẽ. Sức mạnh toàn cầu hóa mà mô hình mẫu mực là xã hội Mỹ, theo ông, sẽ chữa lành các căn bệnh của thế giới! Ngay sau lần xuất bản thứ nhì của cuốn sách vào năm 2000, liên tiếp xảy ra những sự kiện: sự sụp đổ của hàng loạt công ty Internet, vụ khủng bố 11-9 và hàng loạt vụ bê bối trong nội tình nhiều đại công ty trên thế giới như Enron (được Friedman ca tụng trong cuốn sách này), WorldCom, Tyco... Phải chăng trong bản thân “bầy thú” cũng có những “con thú đầu đàn” quá đam mê lợi nhuận riêng đã phá vỡ qui luật cuộc chơi, để đến nay người ta vẫn đang còn phải bàn cách quay trở về những qui tắc căn bản của quản trị doanh nghiệp nhằm quản lý chính “bầy thú”. Chính Friedman cũng thừa nhận trong hệ thống toàn cầu hóa, quyền lực được chia sẻ giữa các nhà nước và các thế lực trên thị trường tài chính. Sẽ không có gì bảo đảm một khi nhà nước kết nối được với “bầy thú” tìm ra phương cách hoạt động có lợi cho cả hai thì quần chúng không còn là một yếu tố phải tính đến. Tức là một bên cứ tham nhũng, lạm quyền và bên kia cứ ung dung nhai nát đồng cỏ, không còn chừa chút thức ăn nào cho người dân. Cái nữa là phương cách Friedman cho rằng các nước có thể dùng để tận dụng lợi thế của “bầy thú” vừa tránh được khả năng bị chúng giày xéo các đồng cây ôliu đó là bộ lọc văn hóa, phong trào bảo vệ môi trường, mạng lưới phúc lợi xã hội – nói chung chỉ là những chuyện mang tính hình thức hơn là đi thẳng vào bản chất vấn đề. Những ví dụ Friedman đưa ra trong phần này như nỗ lực bảo vệ những khu rừng nhiệt đới vùng Amazon không mang tính điển hình mà nặng phần trình diễn hơn. Trong phần nói về chống đối toàn cầu hóa, Friedman nhắc đến những con người không có kỹ năng hay sức lực để gia nhập thế giới toàn cầu hóa là những con rùa. Vấn đề không chỉ ở chỗ những con người không thể chạy nhanh chống đối toàn cầu hóa vì cảm thấy bị thua thiệt, bị hất hủi. Họ cũng không thể đi học lại những kỹ năng mới để đảm nhận những công việc mới khi công việc cũ của họ bị dịch chuyển đến nơi lao động rẻ hơn. Đơn giản chỉ vì họ không muốn bị đẩy vào thế không còn tự do chọn lựa cách sống, lối sống phù hợp với cá nhân họ, không muốn phải từ bỏ giá trị cũ để chấp nhận giá trị mới cho dù nó có hào nhoáng hơn. Và đấy là bi kịch lớn nhất của toàn cầu hóa mà Friedman quên nhắc đến trong Chiếc Lexus và cây ôliu.","Thomas L. Friedman, NXB Khoa học Xã hội",Business & Economics,,NOT_MATURE,,612
BALSEAAAQBAJ,Lời Tự Thú Của Chiếc Mặt Nạ,"Khi cuốn tiểu thuyết ""Lời tự thú của chiếc mặt nạ"" được xuất bản, ngay lập tức Yukio Mishima đã xác lập được vị thế của mình trong văn giới. Văn hào Kawabata lập tức ca ngợi cuốn sách và xem Yukio Mishima là ""niềm hy vọng của thập niên 50”. Bằng lời thú tội không một chút giả dối, không một chút định kiến, không cần tự biện minh, Mishima thong dong dẫn dắt bạn đọc khám phá các đối cực của tâm lý, đi sâu vào ham muốn tính dục, đưa người đọc vào một cuộc hành trình hướng về bóng tối trong thẳm sâu bản chất người. Đằng sau lời thú tội, gỡ đi lớp mặt nạ giả tạo, người ta phải dùng bộ mặt thật để đối diện, khám phá những điều thiêng liêng của sự tồn tại, khát vọng sống và hướng về một cái chết đẹp đẽ. Tất cả những điều đó đã đưa “Lời tự thú của chiếc mặt nạ” trở thành tác phẩm tiêu biểu và quan trọng nhất của Mishima, bởi ngoài mặt ý nghĩa trong lịch sử văn học Nhật Bản, nó còn là tác phẩm nền tảng để hiểu các tiểu thuyết sau này của Mishima.","Yukio Mishima, Phạm Phương, NXB Hội Nhà Văn, Tao Đàn, StreetLib",Fiction,,NOT_MATURE,,251
hQ7REAAAQBAJ,Chiếc Xe Đạp Mất Cắp,"Một người cha mất tích bí ẩn, một hành trình truy tìm dấu vết của ông bằng cách lần theo một mẫu xe đạp vào 20 năm sau của đứa con nay đã là nhà văn, một mạng lưới các câu chuyện đan xen của những cảnh đời gắn liền với những con ngựa sắt, Chiếc xe đạp mất cắp là cuốn tiểu thuyết lịch sử kỳ vĩ, đồng thời lại thấm đượm yếu tố kỳ ảo độc đáo, dẫn dắt người đọc qua bao vùng đất và thời kỳ, từ những ngõ ngách của Đài Bắc hiện đại tới rừng bắc Burma trong Đệ Nhị Thế Chiến. Bằng bút pháp từ tốn mà sâu lắng, lại thành thục nghệ thuật truyện lồng trong truyện, Wu Ming Yi, nhà văn đầu tiên của Đài Loan lọt vào đề cử của giải Man Booker Quốc tế, đã khắc họa tài tình những số phận tình cờ liên đới tới nhau, và thể hiện những chiêm nghiệm sâu sắc về đời sống của con người cũng như của động vật.",Wu Ming Yi ,Fiction,,NOT_MATURE,,404
G8frDwAAQBAJ,Bài Học Diệu Kỳ Từ Chiếc Xe Rác,"(Khổ nhỏ) Cam kết nói không với ""xe rác"" khiến cho hạnh phúc và phép lịch sự trở thành hiện thực. Điều này hỗ trợ điều kia trong một vòng tròn khép kín. “Có những người giống như “chiếc xe rác” vậy: họ chứa trong mình đầy “rác rưởi” - sự thất vọng, tức giận và chán nản. Và tất nhiên, họ phải tìm chỗ để trút bỏ mớ rác rưởi đó. Nếu thấy họ trút lên bạn thì bạn đừng đón nhận. Hãy mỉm cười, vẫy chào, chúc họ vui, rồi tiếp tục công việc của mình. Cứ tin tôi đi, rồi bạn sẽ thấy hạnh phúc hơn.” Câu nói trên của một người lái taxi đã khiến David J.Pollay nảy sinh ý tưởng để viết nên “Bài học diệu kỳ từ chiếc xe rác”. Thông qua cuốn sách này, bạn sẽ học được cách vô hiệu hóa “những chiếc xe rác”, không bị những nguyên nhân vụn vặt cản trở con đường hoàn thiện bản thân, bỏ qua những điều tiêu cực nằm ngoài tầm kiểm soát và trân trọng những gì tốt đẹp đang hiện hữu trước mắt. Lôi cuốn, sáng tạo, nhẹ ở nội dung và hút ở bìa truyện. Bài học diệu kỳ từ chiếc xe rác quả thật là một cuốn sách gối đầu giường tuyệt vời dành cho những ai đang muốn tìm ra cho mình những giá trị mới mẻ trong cuộc sống. Quyển sách hứa hẹn sẽ mang lại những suy nghĩ, những cái nhìn mới tích cực hơn, yêu đời hơn – bắt đầu từ những câu chuyện không đâu lạ lẫm, những dòng thông điệp ngắn ngủi tưởng chừng như đơn giản lại mang những triết lý hết sức to lớn gửi đến tất cả mọi người. Có thể thấy được một điều xuyên suốt diễn ra ở nội dung là sự đề cập đến một bối cảnh chẳng đâu xa lạ – Những điều luôn chiếm một phần lớn trong cuộc đời mỗi người chúng ta – Đó là những cảm xúc cơ hồ ai cũng đã từng gặp phải, những thất vọng, những chán nản, những nỗi buồn vô cớ, cùng những ký ức vô nghĩa nhưng lại kéo dài dai dẳng trong hành trình đi đường của một chiếc xe rác – Một câu chuyện với sự lặp đi lặp lại có chủ đích, một cái xe không ngừng ném rác rưởi và rồi quay lại nhặt chúng lên – một hình ảnh đủ để ta mang máng hình dung ra cái gì đó. Điều này có thể được ta hiểu theo một cách có ngụ ý: Mọi cảm xúc tiêu cực sẽ không đưa bạn đến hướng đi của việc giải quyết vấn đề, chúng đưa bạn đến một bãi rác – nơi chúng ta hoàn toàn có thể cá rằng mình không hề thích một chút nào. Nhưng có lẽ đó là một cách hình dung khá hay để tự thuyết phục mình đừng mãi rơi vào cái vòng luẩn quẫn đấy. Và đừng vội vàng khép cuốn chuyện lại khi bạn đã đọc tới đây, bởi vấn đề mà tác phẩm khai thác vẫn chưa dừng lại ở đó. Câu chuyện dành cho tất cả mọi người mới thật sự bắt đầu kể từ chương 3 của quyển sách, với dòng cam kết đã được đặc biệt in đậm: ‘Đừng biến mình thành chiếc xe rác’ – Phải nói, đây thật sự là một thông điệp hết sức thú vị về một thái độ sống tốt gửi đến tất cả mọi người. Như một lời khuyên với dụng ý thực tế rằng: đừng biến cuộc đời vốn dĩ ‘nhẹ nhàng và sạch sẽ’ bị nhấn chìm trong nỗi lo âu, sự tức giận và những cảm xúc tiêu cực, bởi chúng ta không biết khi nào nó sẽ trở nên hỗn độn và đầy ắp, hãy học cách quên bẵng nó đi ngay khi có thể, đừng để chiếc xe đó chứa đầy rác rưởi đủ để chôn sống bạn, và nếu làm được như thế thì chắc chắn cuộc đời của tất cả mọi người sẽ trở nên sáng lạng và vui tươi hơn hẳn. Với nội dung chỉ gồm có bảy chương ngắn, cứ mỗi chương là một câu chuyện nhỏ, nội dung tập trung không nhiều và đi sâu vào các triết lý sâu xa nhưng lại đủ để bạn học được cách ‘vận hành cả thế giới’, tất cả được viết ra như những mẫu chuyện vương vãi nơi cuộc sống hàng ngày, với vô vàng những triết lý sống vui nhưng đúng, dí dỏm nhưng không đơn điệu. Nội dung cũng không cầu kì kiểu cách, mà được viết ra dưới cái nhìn ngắn gọn và gần gũi đến lạ. Tất cả đều được tác giả hoàn toàn ‘Gói gọn’ trong 7 chương chuyện ngắn ngủi, tất nhiên chính vì thế, về nội dung, Bài học kỳ diệu từ những chiếc xe rác không thể sánh được với hình thức đồ sộ của một số tác phẩm lớn như: Quẳng gánh lo đi mà vui sống, Đắc Nhân Tâm, Trên đường băng… nhưng thật sự đây là một lựa chọn thích hợp cho những ai đang muốn tìm thời gian rảnh rỗi từ những câu chuyện gối đầu giường không nhàm chán, không sáo rỗng, với những suy nghĩ lạ, ý tưởng lạ, nhưng lại có tư duy sâu sắc, để có dịp được phá lên cười với những mẫu chuyện vừa ngộ nghĩnh, vừa đáng yêu, vừa không kém phần trẻ trung, sâu sắc như thế này. Và hi vọng sau khi đọc xong quyển sách Bài học kỳ diệu từ chiếc xe rác này, chúng ta sẽ học được những điều mới mẻ và bổ ích để vận dụng và khai thác chúng trong cuộc sống hàng ngày.",David J. Pollay,Self-Help,5,NOT_MATURE,1/1/2019,208
e1QTBwAAQBAJ,Truy Tìm Người Hùng (Cuốn Sách #1 Trong Bộ Truyện Chiếc Nhẫn Phù Thủy),,MORGAN RICE,Fiction,5,NOT_MATURE,2/27/2015,268
rynrDwAAQBAJ,Vị Tu Sĩ Bán Chiếc Ferrari,"Vị Tu Sĩ Bán Chiếc Ferrari không phải là một cuốn sách xa lạ, cuốn sách này là một trong những ấn phẩm kinh điển của thế giới về đề tài truyền cảm hứng, theo đuổi lý tưởng sống, và hướng về một cuộc sống hạnh phúc. Đây cũng là cuốn sách đầu tiên mà tác giả, nhà diễn thuyết nổi tiếng thế giới Robin Sharma chấp bút. Cuốn sách gây được tiếng vang khi xuất bản năm 1997 và bán được hơn 3 triệu bản vào năm 2013. Từng được xuất bản và bán chạy ở Việt Nam với cái tên Tìm về sức mạnh vô biên, trong lần tái bản này, Vị tu sĩ bán chiếc Ferrari là phiên bản bổ sung, hoàn thiện và tiếp tục là cuốn sách kinh điển về đề tài truyền cảm hứng, theo đuổi lý tưởng sống, hướng tới cuộc sống hạnh phúc của tác giả Robin Sharma. Ngay từ năm 1997, Vị tu sĩ bán chiếc Ferrari đã nhanh chóng trở thành hiện tượng và nằm trong danh sách best-seller, bán ra hơn 4 triệu bản tại 50 quốc gia trên khắp thế giới. Điều đặc biệt, khi đó Robin Sharma chỉ là một tác giả trẻ chưa có tên tuổi. Vậy, tại sao cuốn sách này lại có sức hấp dẫn với bạn đọc trên toàn thế giới? Vị tu sĩ bán chiếc Ferrari kể về Julian Manter, một luật sư dưới con mắt xã hội là một người đứng trên đỉnh cao danh vọng: là “ngôi sao” trong ngành luật, thu nhập lên tới bảy con số, sở hữu một căn biệt thự tráng lệ, một chiếc máy bay riêng và một chiếc Ferrari màu đỏ bóng loáng đáng ngưỡng mộ. Nhưng ít ai biết, trong nội tâm sâu thẳm Julian lại là một con người đầy đau khổ, căng thẳng. Bởi đằng sau cuộc sống “lung linh” của anh những dấu hiệu của sự sụp đổ trong niềm vui và ý nghĩa sống: liên tục bị cuốn vào công việc, vào một vòng xoáy không thể dừng lại; như anh nói “lúc nào cũng có một vụ kiện “khủng” đang chờ sẵn, quy mô vụ sau, lớn hơn vụ trước”. Và cuối cùng, trong một vụ kiện, Julian đột quỵ và nhập viện. Để rồi ngay khi xuất viện, Julian đã có một quyết định là bước ngoặt thay đổi cuộc đời. Anh bán tất cả tài sản của mình, trong đó có chiếc xe Ferrari - niềm tự hào của mình, và bắt đầu hành trình đến Ấn Độ để gặp gỡ các nhà hiền triết Sivana. Qua đó, anh dần “lột xác” và tìm lại chính mình, trở thành một con người thành công, sống một cuộc đời ý nghĩa và để lại di sản trong đời sống. Vị tu sĩ bán chiếc Ferrari tiết lộ những minh triết cổ xưa, hợp nhất chúng lại thành một triết lý sống đơn giản. Đó là phương cách làm chủ tâm trí, theo đuổi mục đích sống, sống có kỷ luât, quý trọng thời gian, cống hiến hết mình, trân trọng hiện tại… Cuốn sách này đặc biệt có ý nghĩa, khi được viết bởi chính những chiêm nghiệm của tác giả Robin Sharma. Bởi ông cũng chính là một luật sư, từ bỏ nghề nghiệp của mình vào năm 25 tuổi - thời điểm viết nên cuốn sách, rồi đạt được thành công vang dội và cuộc sống viên mãn sau đó. Thông qua Vị tu sĩ bán chiếc Ferrari, Robin Sharma gửi gắm thông điệp: Mỗi người đều có khả năng làm chủ vận mệnh của chính mình. Những nhiệm vụ chúng ta phải thực hiện không hề vượt quá khả năng của ta, và những vất vả, khổ đau mà nó mang lại cũng không quá sức chịu đựng của ta. Chỉ cần vững tin với lý tưởng và ý chí bất khuất của bản thân, chúng ta chắc chắn sẽ thành công. Đây là một câu chuyện đầy cảm hứng cung cấp bạn đọc cách sống can đảm, cân bằng, phong phú và nhiều niềm vui hơn, là món quà cho bất cứ ai muốn chinh phục ước mơ của mình.",Robin Sharma,Self-Help,,NOT_MATURE,1/1/2018,272
7unPEAAAQBAJ,Chiếc Dù & Hướng Đi Thông Minh,"Trong môi trường việc làm cạnh tranh gay gắt hiện nay, bạn không thể tung cánh bay cao nếu chỉ biết cắm cuối học hành và chờ đợi một công việc trong mơ. Sẽ rất hữu ích nếu bạn sớm biết quan tâm đến công việc tương lai, qua đó quyết định liệu có nên theo đuổi một tấm bằng đại học - và gánh thêm khoản nợ học phí - hay chuyển sang các trường nghề. Trong cuốn sách nhỏ này, các tác giả không chỉ giúp bạn lập kế hoạch cho các quyết định đó, hỗ trợ bạn nhận biết đam mê có thể dẫn đường bạn đến với công việc mơ ước, mà còn đưa ra những lời khuyên thông thái, bao quát giúp bạn tìm thấy công việc phù hợp, và xác định mẫu người bạn muốn trở thành. Nhưng có lẽ bạn muốn biết tại sao ở đây lại có hình ảnh chiếc dù? Vì chiếc dù sẽ giúp bạn hạ cánh đúng nơi bạn muốn.","Carol Christen, Richard N Bolles, First News",Self-Help,,NOT_MATURE,,196
ZlP7DwAAQBAJ,Thuật Lãnh Đạo Từ Vị Tu Sĩ Bán Chiếc Ferrari,"“Thuật lãnh đạo từ vị tu sĩ bán chiếc Ferrari” là cuốn sách đã thay đổi cuộc sống của hàng ngàn cá nhân và doanh nghiệp trên toàn thế giới. Trong dòng sách lãnh đạo, cuốn sách luôn nằm trong top đầu và được đánh giá là đáng chú ý nhất. Cuốn sách được viết bởi Robin Sharma - một nhà tư tưởng hàng đầu của thế giới về vai trò lãnh đạo trong kinh doanh và trong cuộc sống. Robin Sharma cũng từng là cố vấn lãnh đạo của nhiều công ty trong danh sách Fortune 500 như Microsoft, General Motors, IBM, FedEx… Tiếp nối với câu chuyện trong cuốn sách “best seller” – “Vị tu sĩ bán chiếc Ferrari” trước đó, trong cuốn sách “Thuật lãnh đạo từ vị tu sĩ bán chiếc Ferrari” lần này, Robin Sharma kể về cuộc gặp gỡ bất ngờ của luật sư Julian và người bạn cũ Peter Franklin vào thời điểm Peter vừa mất chức phó tổng giám đốc của một công ty phần mềm lớn. Để giúp Peter lấy lại tinh thần và gây dựng lại sự nghiệp, Julian đã lần lượt chia sẻ 8 mảnh ghép hình có khắc chữ gợi mở về những triết lý lâu đời trong nghệ thuật lãnh đạo. Đây là những tri thức quý báu mà anh lãnh ngộ được từ các nhà hiền triết trên dãy Himalaya. Những mảnh ghép này và sự chia sẻ của Julian đã giúp Peter dần lấy lại niềm tin, bước ra khỏi vùng an toàn của mình và khám phá những “chân trời mới” và đạt được thành công rực rỡ trong sự nghiệp. Qua câu chuyện về Julian và Peter, tác giả Robin Sharma đã chuyển tải những bài học lãnh đạo cực kỳ thiết thực cho các nhà lãnh đạo, quản lý, doanh nhân. Đây là những lời khuyên quý giá không chỉ giúp nâng cao hiệu quả công việc, mà còn giúp bạn đọc hiểu trọn vẹn ý nghĩa đích thực của thuật lãnh đạo; khi mục đích của việc kinh doanh không chỉ là tạo ra lợi nhuận, mà còn là tạo ra những di sản cho thế giới. “Thuật lãnh đạo từ vị tu sĩ bán chiếc Ferrari” xứng đáng là cuốn sách “gối đầu giường” của những doanh nhân, nhà quản lý và những bạn trẻ đang theo đuổi ước mơ, khát khao đóng góp những điều tốt đẹp cho nhân loại.",Robin Sharma,Business & Economics,,NOT_MATURE,,352
TL0sAQAAMAAJ,Ngày xưa ở quê hương tôi,,Văn Điền Trần,"Children's stories, Vietnamese",,NOT_MATURE,1981,76
LkpIAAAAMAAJ,Xóm âm hồn,,Thụy Long Nguyễn,Vietnamese fiction,5,NOT_MATURE,1969,260
q_hiEAAAQBAJ,Tập Thơ Truyện Hồn Lang Trở Về Âm Giới,"""Thời gian thấm thoắt thoi đưa Nó đi đi mãi không chờ đợi ai"" Thật đúng vậy! Bóng thời gian cứ mãi trôi tới không ngừng và biết bao là thay đổi một cách âm thầm, lặng lẽ theo chiều hướng thăng hoa hoặc đổ vỡ...Do lòng người, hoàn cảnh, nhiễu nhương thế sự mà tạo hoá đã an bày, không có gì là bất biến, vĩnh cửu cả. Một mối tình dẫu đẹp tuyệt vời ở một cảnh giới an lạc, thảnh thơi, hạnh phúc tột đỉnh như Lang Nương trong “Tập Thơ Truyện Hồn Lang Về Cõi Thế”, Vậy mà vẫn phải theo quy luật tự nhiên ấy, để rồi vợ chồng yêu dấu phải cam đành chuỗi dài tạm chia tay đôi ngả, trở về kiếp đời dương thế sống cho tròn câu đạo nghĩa, hai người phải gánh chịu đầy nỗi khổ đau, lận đận, thương nhớ vô vàn... Qua “Tập Thơ Truyện Hồn Lang Trở Về Âm Giới” này là phần nối tiếp của tập thơ trên, Lang đã dứt xong kiếp trần, trên đường trở về Âm giới theo tiếng hẹn tình chung, nỗi niềm vấn vương, lưu luyến, những cảm nghĩ xót xa cay đắng cuộc đời, những ký ức chơi vơi, khốn khổ của mảnh nan thuyền trên biển sóng, bao tâm trạng dồn nén trước bệ rạc, ích kỷ vô tâm gây phiền hà, những cảm khái ân tình cao trọng…Được thể hiện cụ thể, bóng bẩy, ẩn tàng trong tập truyện “Qua sự trình bày đặc biệt bằng Năm Thể Thơ” để điều hòa đậm đà thêm hương vị cho người đọc, với nhiều từ ngữ, vần điệu, bút pháp linh hoạt, sống động và sâu sắc… Sẽ thu hút dẫn bạn chầm chậm đi vào lối ngõ chập chờn, lởn vởn hình ảnh của nhân vật chính trong chuyện, với nhiều cung bậc cảm xúc yêu thương thắm thiết, buồn nhớ miên man…Bao trăn trở tốt xấu, nên hư, đạo nghĩa làm người, bao nỗi suy tư trần thế…Để bất chợt cõi lòng cảm thấy như dào dạt dâng lên niềm rung cảm, rồi cũng có lúc như chạnh xót xa, nuối tiếc, có lúc như bùi ngùi trước cảnh tình nghiệt ngã, éo le gây nỗi day dứt khôn nguôi… Sau những giây phút lao nhọc, lo nghĩ, mệt mỏi…Bởi bao công việc của cuộc sống hằng ngày…Từ từ nhấm nháp thưởng thức…Tin tưởng rằng tập thơ này sẽ là một cơn gió thoảng nhẹ nhàng xoa dịu… Việt Nam, Cần Thơ ngày 13/12/2021 Nhất Lang (Nguyễn Thành Sáng)",Nhất Lang (Nguyễn Thành Sáng),Fiction,,NOT_MATURE,3/7/2022,134
ePhiEAAAQBAJ,Tập Thơ Truyện Hồn Lang Về Cõi Thế,"Có bao giờ bạn nghe nói: Ngủ sáng thức dậy bỗng dưng có người bạc trắng mái đầu, có người đổi giọng nói, có người đổi giới tính, có người nhớ lại chuyện tiền kiếp của bản thân, rồi về vùng đất nọ tìm lại thân thuộc tiền kiếp của mình…đó là những chuyện đã từng được truyền miệng trong dân gian. Tôi! Nhà thơ Nguyễn Thành Sáng với bút hiệu Nhất Lang cũng ở vào trường hợp huyền bí hy hữu gần giống như vậy, từ một học giả, nghệ nhân bình thường chẳng hề biết làm thơ, khoảng đầu năm 2015 tình cờ xúc động mạnh bởi chuyện tình cảm năm xưa, bất chợt choáng nhẹ và liền theo sau đó biết làm thơ cho đến nay, hồn thơ khá lai láng...đấy có phải là một chuyện lạ? Tập Thơ Truyện Hồn Lang Về Cõi Thế này được sáng tác sau khoảng hơn nửa năm khi “bỗng nhiên biết làm thơ”, chẳng hiểu do sự đam mê sáng tác mà nghĩ ra hay do một động lực huyền bí vô hình nào khiến tôi cảm thấy như chập chờn những hình ảnh của câu chuyện nơi tâm não một cách sống động, nhờ đó mà rất say sưa lúc sáng tác tập thơ này, chỉ có phần một số tên danh hư cấu đặt ra cho mạch lạc mà thôi. Một bức tranh tình yêu tuyệt đẹp, lãng mạn dưới ánh trăng thanh, một khung trời chiều thu lả tả lá vàng, một nỗi da diết dâng tràn trước niềm đau thương ly biệt, một nỗi trăn trở day dứt khôn nguôi trước bao trắc trở, sóng gió của cuộc đời, những ý thức đạo nghĩa làm người …ẩn tàng trong những từ ngữ, vần điệu, bút pháp…trong tập thơ. Nhâm nhi đọc, thưởng thức, bất chợt lòng ta dâng lên niềm cảm xúc, yêu thương, dào dạt, lâng lâng… Sau giờ mệt mỏi, nặng nề, suy tư, lo lắng bởi bao công việc của cuộc sống hằng ngày, xem tập thơ âu cũng là điều khuây khoả vậy. Việt Nam, Cần Thơ ngày 25/11/2021 Nhất Lang (Nguyễn Thành Sáng)",Nhất Lang (Nguyễn Thành Sáng),Fiction,5,NOT_MATURE,3/7/2022,134
KUdRAQAAMAAJ,Nước Việt hồn tôi,,Băng Sơn,Hanoi (Vietnam),,NOT_MATURE,1995,322
NsWHCgAAQBAJ,"Linh, Hồn, và Thân Thể I: Spirit, Soul and BodyⅠ(Vietnamese Edition)","Những điều đặc biệt mà người đọc có thể tìm hiểu từ cuốn sách này bao gồm những vấn đề sau: 1. Thông qua sự hiểu biết thuộc linh về linh, hồn, và thân thể, là những thành phần của con người, người đọc có thể nhìn vào ‘bản ngã’ mình và đạt được cái nhìn sâu sắc về cuộc sống của chính họ. 2. Họ có thể đạt đến một sự tự nhận biết cách trọn vẹn về chính con người của mình về ‘bản ngã’ mà họ đã được tạo dựng nên. Sách nầy chỉ ra cho bạn đọc một con đường để tự nhận biết về chính mình như sứ đồ Phao-lô đã nói trong 1 Cô-rinh-tô 15:31, “tôi chết hằng ngày” để được thánh khiết và trở thành những con người thuộc linh mà Đức Chúa Trời mong muốn. 3. Chúng ta có thể tránh bị rơi vào bẫy của kẻ thù ma quỷ và Sa-tan, và có được quyền năng để đánh bại các quyền lực tối tăm chỉ khi chúng ta hiểu về chính con người mình. Như Chúa Giê-su đã phán, “Nếu luật pháp gọi những kẻ được lời Đức Chúa Trời phán đến là các thần, và nếu Kinh thánh không thể bỏ được” (Giăng 10:35), cuốn sách này chỉ ra cho độc giả biết được con đường đúng đắn để dự phần vào bổn tánh Đức Chúa Trời và nhận lãnh được mọi phước lành mà Ngài đã hứa.",Tiến Sĩ Jaerock Lee,Religion,2,NOT_MATURE,9/11/2015,272
i5suN0GGsrAC,Rộng mở tâm hồn,,,,,NOT_MATURE,,171
